                    1000           LOG            Wed May 08 08:04:57 2024
                    1000           LOG            Wed May 08 08:12:40 2024
                    1000           LOG            Wed May 08 08:14:36 2024
                    1000           LOG            Wed May 08 08:15:42 2024
                    1000           LOG            Wed May 08 08:17:33 2024
                    1000           LOG            Wed May 08 08:18:43 2024
                    1000           LOG            Wed May 08 08:32:49 2024
                    1000           LOG            Wed May 08 08:41:42 2024
                    1000           LOG            Wed May 08 09:07:47 2024
                    1              LOGOUT         Wed May 08 09:15:53 2024
admin               1000           LGI            Wed May 08 09:26:47 2024
admin               1000           LGI            Thu May 16 14:58:00 2024
admin               1000           LGI            Thu May 16 15:04:54 2024
admin               1000           LGI            Thu May 16 15:06:07 2024
admin               1000           LGI            Thu May 16 15:06:32 2024
admin               1000           LGI            Thu May 16 19:54:02 2024
                    2322           ALM            Thu May 16 19:54:04 2024
                    2533           MST            Thu May 16 19:54:09 2024
admin               1000           LGI            Thu May 16 19:56:15 2024
                    2533           MST            Thu May 16 19:56:17 2024
admin               1000           LGI            Thu May 16 20:00:22 2024
                    2322           ALM            Thu May 16 20:00:24 2024
                    2350           ALMI           Thu May 16 20:00:32 2024
                    2370           ALMD           Thu May 16 20:00:53 2024
                    2350           ALMI           Thu May 16 20:01:14 2024
admin               1000           LGI            Thu May 16 20:01:52 2024
                    2322           ALM            Thu May 16 20:01:54 2024
                    2350           ALMI           Thu May 16 20:01:56 2024
                    2370           ALMD           Thu May 16 20:02:00 2024
admin               1000           LGI            Thu May 16 20:05:01 2024
                    2322           ALM            Thu May 16 20:05:03 2024
                    2350           ALMI           Thu May 16 20:05:09 2024
                    2370           ALMD           Thu May 16 20:05:27 2024
                    2380           ALMM           Thu May 16 20:05:30 2024
admin               1000           LGI            Thu May 16 20:05:39 2024
                    2322           ALM            Thu May 16 20:05:41 2024
                    2370           ALMD           Thu May 16 20:05:41 2024
                    2380           ALMM           Thu May 16 20:05:45 2024
                    2370           ALMD           Thu May 16 20:06:21 2024
                    2400           ALMB           Thu May 16 20:06:24 2024
                    2370           ALMD           Thu May 16 20:06:31 2024
                    2533           MST            Thu May 16 20:06:37 2024
                    1              LGO            Thu May 16 20:06:55 2024
admin               1000           LGI            Thu May 16 20:13:12 2024
                    2322           ALM            Thu May 16 20:13:14 2024
                    2350           ALMI           Thu May 16 20:13:23 2024
                    2370           ALMD           Thu May 16 20:13:42 2024
                    2380           ALMM           Thu May 16 20:13:47 2024
                    2370           ALMD           Thu May 16 20:14:13 2024
                    2400           ALMB           Thu May 16 20:14:18 2024
                    2370           ALMD           Thu May 16 20:14:20 2024
                    2533           MST            Thu May 16 20:14:26 2024
                    1              LGO            Thu May 16 20:14:41 2024
admin               1000           LGI            Tue May 21 23:05:03 2024
admin               1000           LGI            Thu May 23 22:07:38 2024
admin               1000           LGI            Fri May 24 16:00:54 2024
admin               1000           LGI            Fri May 24 16:27:53 2024
                    2322           ALM            Fri May 24 16:27:55 2024
                    2370           ALMD           Fri May 24 16:27:57 2024
                    2350           ALMI           Fri May 24 16:28:00 2024
admin               1000           LGI            Fri May 24 16:29:33 2024
                    2322           ALM            Fri May 24 16:29:35 2024
                    2370           ALMD           Fri May 24 16:29:37 2024
                    2350           ALMI           Fri May 24 16:29:47 2024
                    2370           ALMD           Fri May 24 16:30:14 2024
                    2400           ALMB           Fri May 24 16:30:23 2024
                    2370           ALMD           Fri May 24 16:30:26 2024
                    2350           ALMI           Fri May 24 16:30:30 2024
admin               1000           LGI            Fri May 24 16:32:36 2024
                    2322           ALM            Fri May 24 16:32:40 2024
                    2370           ALMD           Fri May 24 16:32:42 2024
                    2400           ALMB           Fri May 24 16:32:52 2024
                    2370           ALMD           Fri May 24 16:32:56 2024
                    2350           ALMI           Fri May 24 16:32:58 2024
admin               1000           LGI            Fri May 24 16:36:14 2024
                    2322           ALM            Fri May 24 16:36:17 2024
                    2370           ALMD           Fri May 24 16:36:18 2024
                    2370           ALMD           Fri May 24 16:36:25 2024
                    2400           ALMB           Fri May 24 16:36:28 2024
                    2350           ALMI           Fri May 24 16:36:32 2024
                    2370           ALMD           Fri May 24 16:37:32 2024
admin               1000           LGI            Fri May 24 16:38:22 2024
                    2322           ALM            Fri May 24 16:38:25 2024
                    2370           ALMD           Fri May 24 16:38:25 2024
admin               1000           LGI            Fri May 24 18:55:01 2024
                    6200           INS            Fri May 24 18:55:23 2024
                    6200           CON            Fri May 24 18:55:26 2024
                    6200           ACT            Fri May 24 18:55:40 2024
admin               1000           LGI            Fri May 24 19:05:31 2024
                    6100           CON            Fri May 24 19:05:43 2024
admin               1000           LGI            Fri May 24 19:07:48 2024
admin               1000           LGI            Wed May 29 09:52:15 2024
                    6200           CON            Wed May 29 09:52:19 2024
                    1              LGO            Wed May 29 09:52:25 2024
admin               1000           LGI            Wed May 29 10:42:41 2024
admin               1000           LGI            Wed May 29 10:44:43 2024
admin               4001           RJO            Wed May 29 10:44:49 2024
admin               4001           CJO            Wed May 29 10:44:58 2024
admin               1000           LGI            Wed May 29 10:48:38 2024
admin               6650           MEN            Wed May 29 10:48:47 2024
